FU,lowerlimit
1,229.9438685
2,225.4109929
3,213.131116
4,197.2506523
5,181.1546387
6,150.261278
7,117.6620458
8,102.0477827
9,88.23699866
10,78.52772795
11,70.7069823
12,68.49212361
13,67.35925457
14,64.59622372
15,62.11339863
16,58.62270001
17,54.64917377
18,49.52702867
19,43.96307509
20,39.67355901
21,34.28313305
21,28
